Timestamp,Emotion
287365223.5238,SAD
287366290.1904,SURPRISE or ANGER
287366423.5238,SHOCK
287366456.8571,SAD
287366590.1904,SURPRISE or ANGER
287366723.5238,SHOCK
287366856.8571,SURPRISE
287366890.1904,DISCOMFORT
287367023.5238,SAD
287367256.8571,SURPRISE or ANGER
287367390.1904,SHOCK
287367523.5238,SURPRISE
287367656.8571,DISCOMFORT
287367690.1904,SAD
287367823.5238,SURPRISE or ANGER
287367956.8571,SHOCK
287368090.1904,SURPRISE
287368223.5238,DISCOMFORT
287368356.8571,SAD
287368490.1904,SURPRISE or ANGER
287368623.5238,SHOCK
287368756.8571,SURPRISE
287368890.1904,DISCOMFORT
287369023.5238,SAD
287369156.8571,SURPRISE or ANGER
287369290.1904,SHOCK
287369423.5238,SURPRISE
287369556.8571,SAD
287369690.1904,SURPRISE or ANGER
287369823.5238,SHOCK
287369956.8571,SAD
287370090.1904,SURPRISE or ANGER
287370223.5238,SHOCK
287370356.8571,SAD
287370490.1904,SURPRISE or ANGER
287370623.5238,SHOCK
287370756.8571,DISCOMFORT
287370890.1904,SAD
287371023.5238,SURPRISE or ANGER
287371156.8571,SHOCK
287371290.1904,SURPRISE
287371423.5238,FEAR
287371556.8571,SURPRISE or ANGER
287371690.1904,SHOCK
287371823.5238,SURPRISE
287372056.8571,DISCOMFORT
287372190.1904,FEAR
287372323.5238,SURPRISE or ANGER
287372456.8571,SHOCK
287372590.1904,SURPRISE
287372723.5238,DISCOMFORT
287372856.8571,NEUTRAL
287372990.1904,SURPRISE or ANGER
287373123.5238,SHOCK
287373256.8571,SURPRISE
287373390.1904,DISCOMFORT
287373623.5238,NEUTRAL
287373756.8571,SURPRISE or ANGER
287373790.1904,SHOCK
287373923.5238,SURPRISE
287374056.8571,HAPPY
287374190.1904,SURPRISE or ANGER
287374223.5238,SHOCK
287374356.8571,DISCOMFORT
287374490.1904,HAPPY
287374723.5238,SURPRISE or ANGER
287374856.8571,SHOCK
287374990.1904,SURPRISE
287375123.5238,DISCOMFORT
287375256.8571,HAPPY
287375390.1904,SURPRISE or ANGER
287375523.5238,SHOCK
287375656.8571,HAPPY
287375790.1904,SURPRISE or ANGER
287375923.5238,SHOCK
287376056.8571,SURPRISE
287376190.1904,HAPPY
287376423.5238,SURPRISE or ANGER
287376556.8571,SHOCK
287376590.1904,SURPRISE
287376823.5238,DISCOMFORT
287376956.8571,HAPPY
287377090.1904,SURPRISE or ANGER
287377223.5238,SHOCK
287377356.8571,SURPRISE
287377490.1904,HAPPY
287377623.5238,SURPRISE or ANGER
287377756.8571,SHOCK
287377890.1904,HAPPY
287378023.5238,SURPRISE or ANGER
287378156.8571,SHOCK
287378290.1904,SURPRISE
287378423.5238,DISCOMFORT
287378556.8571,HAPPY
287378690.1904,SURPRISE or ANGER
287378823.5238,SHOCK
287378956.8571,HAPPY
287379090.1904,SURPRISE or ANGER
287379223.5238,SHOCK
287379356.8571,DISCOMFORT
287379590.1904,SAD
287379723.5238,SURPRISE or ANGER
287379756.8571,SHOCK
287379890.1904,DISCOMFORT
287380123.5238,FEAR
287380256.8571,SURPRISE or ANGER
287380390.1904,SHOCK
287380523.5238,SURPRISE
287380656.8571,DISCOMFORT
287380790.1904,SAD
287380923.5238,SURPRISE or ANGER
287381056.8571,SHOCK
287381190.1904,DISCOMFORT
287381323.5238,SAD
287381456.8571,SURPRISE or ANGER
287381690.1904,SHOCK
287381723.5238,SURPRISE
287381856.8571,DISCOMFORT
287381990.1904,SAD
287382123.5238,SURPRISE or ANGER
287382356.8571,SHOCK
287382490.1904,SAD
287382623.5238,SURPRISE or ANGER
287382756.8571,SHOCK
287382790.1904,SURPRISE
287382923.5238,SAD
287382956.8571,SURPRISE or ANGER
287383190.1904,SHOCK
287383323.5238,SURPRISE
287383356.8571,SAD
287383490.1904,SURPRISE or ANGER
287383623.5238,SHOCK
287383756.8571,DISCOMFORT
287383890.1904,SAD
287384023.5238,SURPRISE or ANGER
287384156.8571,SHOCK
287384290.1904,SURPRISE
287384423.5238,DISCOMFORT
287384556.8571,SAD
287384690.1904,SURPRISE or ANGER
287384823.5238,SHOCK
287384956.8571,DISCOMFORT
287384990.1904,SAD
287385123.5238,SURPRISE or ANGER
287385256.8571,SHOCK
287385390.1904,SAD
287385523.5238,SURPRISE or ANGER
287385656.8571,SHOCK
287385690.1904,SAD
287385923.5238,SURPRISE or ANGER
287386056.8571,SHOCK
287386190.1904,DISCOMFORT
287386323.5238,SAD
287386456.8571,SURPRISE or ANGER
287386590.1904,SHOCK
287386723.5238,SAD
287386856.8571,SURPRISE or ANGER
287386890.1904,SHOCK
287387023.5238,SURPRISE
287387156.8571,FEAR
287387290.1904,SURPRISE or ANGER
287387423.5238,SHOCK
287387456.8571,DISCOMFORT
287387590.1904,HAPPY
287387723.5238,SURPRISE or ANGER
287387856.8571,SHOCK
287387890.1904,DISCOMFORT
287388023.5238,HAPPY
287388156.8571,SURPRISE or ANGER
287388290.1904,SHOCK
287388423.5238,DISCOMFORT
287388556.8571,HAPPY
287388690.1904,SURPRISE or ANGER
287388823.5238,SHOCK
287388956.8571,SURPRISE
287389090.1904,DISCOMFORT
287389323.5238,NEUTRAL
287389456.8571,SURPRISE or ANGER
287389590.1904,SHOCK
287389823.5238,SURPRISE
287389956.8571,DISCOMFORT
287390090.1904,NEUTRAL
287390223.5238,SURPRISE or ANGER
287390356.8571,SHOCK
287390490.1904,DISCOMFORT
287390723.5238,NEUTRAL
287390756.8571,SURPRISE or ANGER
287390890.1904,SHOCK
287391023.5238,DISCOMFORT
287391156.8571,SAD
287391290.1904,SURPRISE or ANGER
287391423.5238,SHOCK
287391556.8571,DISCOMFORT
287391690.1904,NEUTRAL
287391823.5238,SURPRISE or ANGER
287391956.8571,SHOCK
287392090.1904,DISCOMFORT
287392223.5238,NEUTRAL
287392356.8571,SURPRISE or ANGER
287392490.1904,SHOCK
287392623.5238,NEUTRAL
287392856.8571,SURPRISE or ANGER
287392890.1904,SHOCK
287393123.5238,SURPRISE
287393256.8571,NEUTRAL
287393390.1904,SURPRISE or ANGER
287393523.5238,SHOCK
287393656.8571,SURPRISE
287393790.1904,NEUTRAL
287393923.5238,SURPRISE or ANGER
287394056.8571,SHOCK
287394190.1904,NEUTRAL
287394423.5238,SURPRISE or ANGER
287394556.8571,SHOCK
287394590.1904,DISCOMFORT
287394723.5238,NEUTRAL
287394956.8571,SURPRISE or ANGER
287395090.1904,SHOCK
287395223.5238,DISCOMFORT
287395356.8571,NEUTRAL
287395390.1904,SURPRISE or ANGER
287395623.5238,SHOCK
287395756.8571,NEUTRAL
287395890.1904,SURPRISE or ANGER
287396023.5238,SHOCK
287396156.8571,SURPRISE
287396290.1904,NEUTRAL
287396423.5238,SURPRISE or ANGER
287396556.8571,SHOCK
287396690.1904,SURPRISE
287396823.5238,NEUTRAL
287396956.8571,SURPRISE or ANGER
287397090.1904,SHOCK
287397223.5238,NEUTRAL
287397356.8571,SURPRISE or ANGER
287397490.1904,SHOCK
287397623.5238,NEUTRAL
287397756.8571,SURPRISE or ANGER
287397890.1904,SHOCK
287398023.5238,SAD
287398156.8571,SURPRISE or ANGER
287398290.1904,SHOCK
287398423.5238,SURPRISE
287398556.8571,SAD
287398690.1904,SURPRISE or ANGER
287398823.5238,SHOCK
287398956.8571,SURPRISE
287399090.1904,DISCOMFORT
287399323.5238,SAD
287399356.8571,SURPRISE or ANGER
287399490.1904,SHOCK
287399623.5238,DISCOMFORT
287399756.8571,SAD
287399890.1904,SURPRISE or ANGER
287400023.5238,SHOCK
287400156.8571,SURPRISE
287400290.1904,NEUTRAL
287400423.5238,SURPRISE or ANGER
287400556.8571,SHOCK
287400690.1904,NEUTRAL
287400823.5238,SURPRISE or ANGER
287400956.8571,SHOCK
287401090.1904,NEUTRAL
287401223.5238,SURPRISE or ANGER
287401356.8571,SHOCK
287401490.1904,SURPRISE
287401623.5238,NEUTRAL
287401756.8571,SURPRISE or ANGER
287401890.1904,SHOCK
287402023.5238,SURPRISE
287402156.8571,NEUTRAL
287402290.1904,SURPRISE or ANGER
287402423.5238,SHOCK
287402556.8571,NEUTRAL
287402690.1904,SURPRISE or ANGER
287402823.5238,SHOCK
287402956.8571,DISCOMFORT
287403090.1904,NEUTRAL
287403223.5238,SURPRISE or ANGER
287403356.8571,SHOCK
287403490.1904,SAD
287403623.5238,SURPRISE or ANGER
287403756.8571,SHOCK
287403890.1904,DISCOMFORT
